repository,pr,ga,v_old,v_new,update_type,statically_compatible,dynamically_compatible,err
michelin/kstreamplify,153,io.confluent:kafka-streams-avro-serde,7.5.2,7.5.3,patch,False,,NO_JAR
michelin/kstreamplify,152,org.springframework.boot:spring-boot-dependencies,3.2.0,3.2.1,patch,False,,NO_JAR
michelin/kstreamplify,149,org.apache.maven.plugins:maven-surefire-plugin,3.2.2,3.2.3,patch,True,,NO_GITHUB
michelin/kstreamplify,147,com.puppycrawl.tools:checkstyle,10.12.5,10.12.6,patch,True,True,
michelin/kstreamplify,145,commons-io:commons-io,2.15.0,2.15.1,patch,True,,NO_GITHUB
michelin/kstreamplify,144,org.apache.maven.plugins:maven-javadoc-plugin,3.6.2,3.6.3,patch,False,,
michelin/kstreamplify,138,org.apache.commons:commons-lang3,3.13.0,3.14.0,minor,False,,
michelin/kstreamplify,132,com.puppycrawl.tools:checkstyle,10.12.4,10.12.5,patch,False,,
michelin/kstreamplify,129,io.confluent:kafka-streams-avro-serde,7.5.1,7.5.2,patch,False,,NO_JAR
michelin/kstreamplify,128,org.apache.maven.plugins:maven-surefire-plugin,3.2.1,3.2.2,patch,True,,NO_GITHUB
michelin/kstreamplify,127,org.apache.maven.plugins:maven-javadoc-plugin,3.6.0,3.6.2,patch,False,,
michelin/kstreamplify,118,org.apache.maven.plugins:maven-checkstyle-plugin,3.3.0,3.3.1,patch,True,,NO_GITHUB
michelin/kstreamplify,117,commons-io:commons-io,2.14.0,2.15.0,minor,True,,NO_GITHUB
michelin/kstreamplify,116,org.apache.maven.plugins:maven-surefire-plugin,3.1.2,3.2.1,minor,True,,NO_GITHUB
michelin/kstreamplify,113,org.jacoco:jacoco-maven-plugin,0.8.10,0.8.11,patch,True,False,no_test
michelin/kstreamplify,111,io.confluent:kafka-streams-avro-serde,7.5.0,7.5.1,patch,False,,NO_JAR
michelin/kstreamplify,109,commons-io:commons-io,2.13.0,2.14.0,minor,False,,
michelin/kstreamplify,108,com.puppycrawl.tools:checkstyle,10.12.3,10.12.4,patch,False,,
michelin/kstreamplify,102,org.projectlombok:lombok,1.18.28,1.18.30,patch,True,False,no_maven
michelin/kstreamplify,101,org.apache.avro:avro-maven-plugin,1.11.2,1.11.3,patch,True,,NO_GITHUB
michelin/kstreamplify,96,org.apache.maven.plugins:maven-javadoc-plugin,3.5.0,3.6.0,minor,True,,NO_GITHUB
michelin/kstreamplify,79,io.confluent:kafka-streams-avro-serde,7.4.1,7.5.0,minor,False,,NO_JAR
michelin/kstreamplify,70,org.apache.commons:commons-lang3,3.12.0,3.13.0,minor,False,,
michelin/kstreamplify,63,org.junit.jupiter:junit-jupiter,5.9.3,5.10.0,minor,True,False,no_maven
conduktor/conduktor-poc-kafka-protocol,95,org.apache.kafka:kafka-clients,3.4.0,3.6.0,minor,False,,
conduktor/conduktor-poc-kafka-protocol,94,org.apache.commons:commons-lang3,3.12.0,3.13.0,minor,False,,
conduktor/conduktor-poc-kafka-protocol,93,commons-io:commons-io,2.13.0,2.14.0,minor,False,,
conduktor/conduktor-poc-kafka-protocol,92,org.hibernate.validator:hibernate-validator,8.0.0.Final,8.0.1.Final,patch,False,,
conduktor/conduktor-poc-kafka-protocol,90,io.netty:netty-all,4.1.94.Final,4.1.99.Final,patch,True,False,no_compile
TFyre/bambu-farm,54,io.smallrye:jandex-maven-plugin,3.1.6,3.1.7,patch,True,False,no_test
TFyre/bambu-farm,53,org.apache.maven.plugins:maven-compiler-plugin,3.12.1,3.13.0,minor,True,True,
TFyre/bambu-farm,49,com.sun.xml.bind:jaxb-xjc,4.0.4,4.0.5,patch,True,,NO_GITHUB
TFyre/bambu-farm,22,com.sun.xml.bind:jaxb-xjc,4.0.2,4.0.4,patch,True,,NO_GITHUB
awslabs/eventbridge-kafka-connector,275,org.jacoco:jacoco-maven-plugin,0.8.11,0.8.12,patch,True,False,no_test
awslabs/eventbridge-kafka-connector,270,commons-logging:commons-logging,1.3.0,1.3.1,patch,False,,
awslabs/eventbridge-kafka-connector,269,io.github.git-commit-id:git-commit-id-maven-plugin,8.0.1,8.0.2,patch,True,True,
awslabs/eventbridge-kafka-connector,266,org.awaitility:awaitility,4.2.0,4.2.1,patch,True,False,no_resolve
awslabs/eventbridge-kafka-connector,265,com.fasterxml.jackson:jackson-bom,2.16.2,2.17.0,minor,False,,NO_JAR
awslabs/eventbridge-kafka-connector,262,org.testcontainers:junit-jupiter,1.19.6,1.19.7,patch,True,False,no_maven
awslabs/eventbridge-kafka-connector,261,ch.qos.logback:logback-classic,1.5.2,1.5.3,patch,True,,NO_TAG
awslabs/eventbridge-kafka-connector,260,com.fasterxml.jackson:jackson-bom,2.16.1,2.16.2,patch,False,,NO_JAR
awslabs/eventbridge-kafka-connector,259,com.spotify.fmt:fmt-maven-plugin,2.22.1,2.23,minor,False,,
awslabs/eventbridge-kafka-connector,258,io.github.git-commit-id:git-commit-id-maven-plugin,7.0.0,8.0.1,major,False,,
awslabs/eventbridge-kafka-connector,256,org.testcontainers:testcontainers,1.19.6,1.19.7,patch,True,False,no_maven
awslabs/eventbridge-kafka-connector,252,ch.qos.logback:logback-classic,1.5.0,1.5.2,patch,True,,
awslabs/eventbridge-kafka-connector,248,org.apache.maven.plugins:maven-shade-plugin,3.5.1,3.5.2,patch,True,,NO_GITHUB
awslabs/eventbridge-kafka-connector,247,org.testcontainers:testcontainers,1.19.5,1.19.6,patch,True,False,no_maven
awslabs/eventbridge-kafka-connector,245,org.testcontainers:junit-jupiter,1.19.5,1.19.6,patch,True,False,no_maven
awslabs/eventbridge-kafka-connector,244,ch.qos.logback:logback-classic,1.4.14,1.5.0,minor,True,False,no_test
awslabs/eventbridge-kafka-connector,240,commons-codec:commons-codec,1.16.0,1.16.1,patch,True,,NO_GITHUB
awslabs/eventbridge-kafka-connector,239,org.testcontainers:junit-jupiter,1.19.4,1.19.5,patch,True,False,no_maven
awslabs/eventbridge-kafka-connector,237,org.slf4j:slf4j-api,2.0.11,2.0.12,patch,True,,NO_GITHUB
awslabs/eventbridge-kafka-connector,236,org.testcontainers:testcontainers,1.19.4,1.19.5,patch,True,False,no_maven
awslabs/eventbridge-kafka-connector,234,joda-time:joda-time,2.12.6,2.12.7,patch,True,False,no_compile
awslabs/eventbridge-kafka-connector,233,org.assertj:assertj-core,3.25.2,3.25.3,patch,True,False,
awslabs/eventbridge-kafka-connector,232,org.junit.jupiter:junit-jupiter,5.10.1,5.10.2,patch,True,False,no_maven
awslabs/eventbridge-kafka-connector,228,org.assertj:assertj-core,3.25.1,3.25.2,patch,True,False,
awslabs/eventbridge-kafka-connector,225,org.testcontainers:junit-jupiter,1.19.3,1.19.4,patch,True,False,no_maven
awslabs/eventbridge-kafka-connector,224,org.testcontainers:testcontainers,1.19.3,1.19.4,patch,False,,
awslabs/eventbridge-kafka-connector,219,com.spotify.fmt:fmt-maven-plugin,2.22,2.22.1,patch,True,True,
awslabs/eventbridge-kafka-connector,214,org.apache.maven.plugins:maven-surefire-plugin,3.2.3,3.2.5,patch,True,,NO_GITHUB
awslabs/eventbridge-kafka-connector,213,org.slf4j:slf4j-api,2.0.10,2.0.11,patch,True,,NO_GITHUB
awslabs/eventbridge-kafka-connector,212,com.spotify.fmt:fmt-maven-plugin,2.21.1,2.22,minor,True,True,
awslabs/eventbridge-kafka-connector,210,org.apache.maven.plugins:maven-failsafe-plugin,3.2.3,3.2.5,patch,True,,NO_GITHUB
awslabs/eventbridge-kafka-connector,204,org.assertj:assertj-core,3.25.0,3.25.1,patch,False,,
awslabs/eventbridge-kafka-connector,202,joda-time:joda-time,2.12.5,2.12.6,patch,True,False,no_compile
awslabs/eventbridge-kafka-connector,199,org.assertj:assertj-core,3.24.2,3.25.0,minor,False,,
awslabs/eventbridge-kafka-connector,193,com.fasterxml.jackson:jackson-bom,2.16.0,2.16.1,patch,False,,NO_JAR
awslabs/eventbridge-kafka-connector,188,org.apache.maven.plugins:maven-failsafe-plugin,3.2.2,3.2.3,patch,True,,NO_GITHUB
awslabs/eventbridge-kafka-connector,187,org.apache.maven.plugins:maven-surefire-plugin,3.2.2,3.2.3,patch,True,,NO_GITHUB
awslabs/eventbridge-kafka-connector,181,commons-logging:commons-logging,1.2,1.3.0,minor,False,,
awslabs/eventbridge-kafka-connector,180,ch.qos.logback:logback-classic,1.4.12,1.4.14,patch,True,False,no_test
awslabs/eventbridge-kafka-connector,178,ch.qos.logback:logback-classic,1.4.11,1.4.12,patch,True,False,no_test
awslabs/eventbridge-kafka-connector,176,org.apache.commons:commons-lang3,3.13.0,3.14.0,minor,False,,
awslabs/eventbridge-kafka-connector,175,org.testcontainers:testcontainers,1.19.2,1.19.3,patch,True,False,no_maven
awslabs/eventbridge-kafka-connector,174,org.testcontainers:junit-jupiter,1.18.3,1.19.3,minor,True,False,no_maven
awslabs/eventbridge-kafka-connector,170,com.fasterxml.jackson:jackson-bom,2.15.3,2.16.0,minor,False,,NO_JAR
awslabs/eventbridge-kafka-connector,169,org.testcontainers:testcontainers,1.19.1,1.19.2,patch,False,,
awslabs/eventbridge-kafka-connector,166,org.apache.maven.plugins:maven-failsafe-plugin,3.2.1,3.2.2,patch,True,,NO_GITHUB
awslabs/eventbridge-kafka-connector,164,org.apache.maven.plugins:maven-surefire-plugin,3.2.1,3.2.2,patch,True,,NO_GITHUB
awslabs/eventbridge-kafka-connector,163,org.junit.jupiter:junit-jupiter,5.10.0,5.10.1,patch,True,False,no_maven
awslabs/eventbridge-kafka-connector,160,org.apache.maven.plugins:maven-surefire-plugin,3.1.2,3.2.1,minor,True,,NO_GITHUB
awslabs/eventbridge-kafka-connector,158,org.apache.maven.plugins:maven-failsafe-plugin,3.1.2,3.2.1,minor,True,,NO_GITHUB
awslabs/eventbridge-kafka-connector,155,org.jacoco:jacoco-maven-plugin,0.8.10,0.8.11,patch,True,False,no_test
awslabs/eventbridge-kafka-connector,151,com.fasterxml.jackson:jackson-bom,2.15.2,2.15.3,patch,False,,NO_JAR
awslabs/eventbridge-kafka-connector,148,org.testcontainers:testcontainers,1.19.0,1.19.1,patch,False,,
awslabs/eventbridge-kafka-connector,141,com.mycila:license-maven-plugin,4.2,4.3,minor,True,,NO_GITHUB
awslabs/eventbridge-kafka-connector,137,org.apache.maven.plugins:maven-shade-plugin,3.5.0,3.5.1,patch,True,,NO_GITHUB
awslabs/eventbridge-kafka-connector,136,com.spotify.fmt:fmt-maven-plugin,2.20,2.21.1,minor,True,True,
awslabs/eventbridge-kafka-connector,121,org.slf4j:slf4j-api,2.0.7,2.0.9,patch,True,,
awslabs/eventbridge-kafka-connector,116,org.testcontainers:testcontainers,1.18.3,1.19.0,minor,False,,
awslabs/eventbridge-kafka-connector,106,org.apache.commons:commons-lang3,3.12.0,3.13.0,minor,False,,
awslabs/eventbridge-kafka-connector,105,software.amazon.awssdk:bom,2.20.109,2.20.125,patch,False,,NO_JAR
awslabs/eventbridge-kafka-connector,104,ch.qos.logback:logback-classic,1.4.8,1.4.11,patch,False,,
awslabs/eventbridge-kafka-connector,103,com.google.guava:guava,32.1.1-jre,32.1.2-jre,patch,True,False,no_test
awslabs/eventbridge-kafka-connector,84,org.junit.jupiter:junit-jupiter,5.9.3,5.10.0,minor,True,False,no_maven
awslabs/eventbridge-kafka-connector,83,software.amazon.awssdk:bom,2.20.103,2.20.109,patch,False,,NO_JAR
awslabs/eventbridge-kafka-connector,81,software.amazon.awssdk:bom,2.20.101,2.20.103,patch,False,,NO_JAR
awslabs/eventbridge-kafka-connector,79,software.amazon.awssdk:bom,2.20.97,2.20.101,patch,False,,NO_JAR
awslabs/eventbridge-kafka-connector,75,software.amazon.awssdk:bom,2.20.92,2.20.97,patch,False,,NO_JAR
awslabs/eventbridge-kafka-connector,70,software.amazon.awssdk:bom,2.20.87,2.20.92,patch,False,,NO_JAR
awslabs/eventbridge-kafka-connector,60,software.amazon.awssdk:bom,2.20.83,2.20.87,patch,False,,NO_JAR
awslabs/eventbridge-kafka-connector,51,software.amazon.awssdk:bom,2.20.80,2.20.83,patch,False,,NO_JAR
awslabs/eventbridge-kafka-connector,40,software.amazon.awssdk:bom,2.20.74,2.20.80,patch,False,,NO_JAR
awslabs/eventbridge-kafka-connector,15,software.amazon.awssdk:bom,2.20.65,2.20.74,patch,False,,NO_JAR
IBM/JTOpen,166,org.apache.maven.plugins:maven-compiler-plugin,3.12.1,3.13.0,minor,True,True,
IBM/JTOpen,149,org.apache.maven.plugins:maven-compiler-plugin,3.12.0,3.12.1,patch,True,True,
IBM/JTOpen,148,org.apache.maven.plugins:maven-compiler-plugin,3.11.0,3.12.0,minor,True,True,
IBM/JTOpen,142,org.codehaus.mojo:build-helper-maven-plugin,3.4.0,3.5.0,minor,False,,
IBM/JTOpen,140,org.apache.maven.plugins:maven-compiler-plugin,3.10.0,3.11.0,minor,False,,
IBM/JTOpen,139,org.codehaus.mojo:build-helper-maven-plugin,3.2.0,3.4.0,minor,False,,
Jojoooo1/spring-boot-api,136,org.projectlombok:lombok,1.18.30,1.18.32,patch,False,,
Jojoooo1/spring-boot-api,135,org.postgresql:postgresql,42.7.2,42.7.3,patch,True,False,no_maven
Jojoooo1/spring-boot-api,116,io.hypersistence:hypersistence-utils-hibernate-63,3.7.1,3.7.2,patch,True,False,no_compile
Jojoooo1/spring-boot-api,114,com.slack.api:slack-api-client,1.38.0,1.38.1,patch,True,True,
Jojoooo1/spring-boot-api,108,io.hypersistence:hypersistence-utils-hibernate-62,3.7.0,3.7.1,patch,True,False,no_compile
Jojoooo1/spring-boot-api,99,com.slack.api:slack-api-client,1.36.1,1.37.0,minor,False,,
Jojoooo1/spring-boot-api,98,org.apache.maven.plugins:maven-failsafe-plugin,3.2.3,3.2.5,patch,True,,NO_GITHUB
Jojoooo1/spring-boot-api,94,net.ttddyy.observation:datasource-micrometer-spring-boot,1.0.2,1.0.3,patch,True,False,no_test
Jojoooo1/spring-boot-api,92,io.hypersistence:hypersistence-utils-hibernate-62,3.6.1,3.7.0,minor,True,False,no_compile
Jojoooo1/spring-boot-api,91,org.apache.maven.plugins:maven-surefire-plugin,3.2.2,3.2.3,patch,True,,NO_GITHUB
Jojoooo1/spring-boot-api,86,org.postgresql:postgresql,42.7.0,42.7.1,patch,False,,
Jojoooo1/spring-boot-api,67,org.postgresql:postgresql,42.6.0,42.7.0,minor,False,,
Jojoooo1/spring-boot-api,65,com.slack.api:slack-api-client,1.35.1,1.36.0,minor,False,,
Jojoooo1/spring-boot-api,62,com.slack.api:slack-api-client,1.35.0,1.35.1,patch,True,True,
Jojoooo1/spring-boot-api,61,io.hypersistence:hypersistence-utils-hibernate-62,3.6.0,3.6.1,patch,False,,
Jojoooo1/spring-boot-api,60,org.apache.maven.plugins:maven-surefire-plugin,3.2.1,3.2.2,patch,True,,NO_GITHUB
Jojoooo1/spring-boot-api,58,org.springframework.boot:spring-boot-starter-parent,3.2.0-RC1,3.2.0-RC2,patch,False,,NO_JAR
Jojoooo1/spring-boot-api,57,org.springframework.cloud:spring-cloud-dependencies,2023.0.0-M2,2023.0.0-RC1,patch,False,,NO_JAR
Jojoooo1/spring-boot-api,56,org.apache.commons:commons-text,1.10.0,1.11.0,minor,True,,NO_GITHUB
Jojoooo1/spring-boot-api,55,com.slack.api:slack-api-client,1.34.0,1.35.0,minor,True,True,
Jojoooo1/spring-boot-api,54,org.apache.maven.plugins:maven-surefire-plugin,3.1.2,3.2.1,minor,True,,NO_GITHUB
Jojoooo1/spring-boot-api,52,io.hypersistence:hypersistence-utils-hibernate-62,3.5.3,3.6.0,minor,True,False,no_compile
Jojoooo1/spring-boot-api,50,io.opentelemetry:opentelemetry-exporter-otlp,1.30.1,1.31.0,minor,True,False,no_maven
Jojoooo1/spring-boot-api,49,com.slack.api:slack-api-client,1.33.0,1.34.0,minor,False,,
Jojoooo1/spring-boot-api,47,com.slack.api:slack-api-client,1.32.2,1.33.0,minor,True,True,
Jojoooo1/spring-boot-api,45,com.slack.api:slack-api-client,1.32.1,1.32.2,patch,True,True,
Jojoooo1/spring-boot-api,42,org.springframework.boot:spring-boot-starter-parent,3.2.0-M2,3.2.0-M3,patch,False,,NO_JAR
Jojoooo1/spring-boot-api,41,org.projectlombok:lombok,1.18.28,1.18.30,patch,True,False,no_maven
Jojoooo1/spring-boot-api,38,org.hibernate.orm:hibernate-micrometer,6.3.0.Final,6.3.1.Final,patch,True,False,no_maven
Swofty-Developments/HypixelSkyBlock,155,net.bytebuddy:byte-buddy-agent,1.14.12,1.14.13,patch,True,,NO_GITHUB
Swofty-Developments/HypixelSkyBlock,154,net.bytebuddy:byte-buddy,1.14.12,1.14.13,patch,True,,NO_GITHUB
Swofty-Developments/HypixelSkyBlock,143,io.netty:netty-all,4.1.107.Final,4.1.108.Final,patch,True,False,no_compile
Swofty-Developments/HypixelSkyBlock,132,com.fasterxml.jackson.core:jackson-annotations,2.16.2,2.17.0,minor,True,False,no_compile
Swofty-Developments/HypixelSkyBlock,131,com.fasterxml.jackson.core:jackson-databind,2.16.2,2.17.0,minor,False,,
Swofty-Developments/HypixelSkyBlock,130,com.fasterxml.jackson.core:jackson-core,2.16.2,2.17.0,minor,False,,
Swofty-Developments/HypixelSkyBlock,110,com.fasterxml.jackson.core:jackson-core,2.16.1,2.16.2,patch,True,True,
Swofty-Developments/HypixelSkyBlock,109,com.fasterxml.jackson.core:jackson-annotations,2.16.1,2.16.2,patch,True,False,no_compile
Swofty-Developments/HypixelSkyBlock,108,com.fasterxml.jackson.core:jackson-databind,2.16.1,2.16.2,patch,True,True,
Swofty-Developments/HypixelSkyBlock,87,org.json:json,20240205,20240303,major,True,False,
Swofty-Developments/HypixelSkyBlock,78,io.netty:netty-all,4.1.106.Final,4.1.107.Final,patch,True,False,no_compile
Swofty-Developments/HypixelSkyBlock,73,junit:junit,4.13.1,4.13.2,patch,True,False,no_compile
Swofty-Developments/HypixelSkyBlock,72,net.bytebuddy:byte-buddy-agent,1.14.11,1.14.12,patch,True,,NO_GITHUB
Swofty-Developments/HypixelSkyBlock,71,net.bytebuddy:byte-buddy,1.14.11,1.14.12,patch,True,,NO_GITHUB
Swofty-Developments/HypixelSkyBlock,68,com.viaversion:viaversion,4.10.0-24w05b-SNAPSHOT,4.10.0-24w06a-SNAPSHOT,patch,False,,NO_JAR
Swofty-Developments/HypixelSkyBlock,67,com.viaversion:viabackwards-common,4.10.0-24w05b-SNAPSHOT,4.10.0-24w06a-SNAPSHOT,patch,False,,NO_JAR
Swofty-Developments/HypixelSkyBlock,66,org.json:json,20231013,20240205,major,False,,
Swofty-Developments/HypixelSkyBlock,60,org.tinylog:tinylog-api,2.6.2,2.7.0,minor,False,,
Swofty-Developments/HypixelSkyBlock,59,org.tinylog:slf4j-tinylog,2.6.2,2.7.0,minor,True,False,no_resolve
Swofty-Developments/HypixelSkyBlock,58,com.viaversion:viabackwards-common,4.10.0-24w04a-SNAPSHOT,4.10.0-24w05b-SNAPSHOT,patch,False,,NO_JAR
Swofty-Developments/HypixelSkyBlock,57,com.viaversion:viaversion,4.10.0-24w04a-SNAPSHOT,4.10.0-24w05b-SNAPSHOT,patch,False,,NO_JAR
Swofty-Developments/HypixelSkyBlock,56,org.tinylog:tinylog-impl,2.6.2,2.7.0,minor,True,False,no_resolve
Swofty-Developments/HypixelSkyBlock,52,io.netty:netty-all,4.1.104.Final,4.1.106.Final,patch,True,False,no_compile
Swofty-Developments/HypixelSkyBlock,51,com.viaversion:viaversion,4.9.1,4.9.2,patch,False,,NO_JAR
Swofty-Developments/HypixelSkyBlock,48,io.netty:netty-all,4.1.65.Final,4.1.104.Final,patch,False,,
Swofty-Developments/HypixelSkyBlock,44,org.apache.maven.shared:maven-invoker,2.2,3.2.0,major,False,,
Swofty-Developments/HypixelSkyBlock,43,org.apache.maven.plugins:maven-release-plugin,2.5.2,3.0.1,major,False,,
Swofty-Developments/HypixelSkyBlock,31,com.fasterxml.jackson.core:jackson-annotations,2.16.0,2.16.1,patch,True,False,no_compile
Swofty-Developments/HypixelSkyBlock,30,com.fasterxml.jackson.core:jackson-databind,2.16.0,2.16.1,patch,True,True,
Swofty-Developments/HypixelSkyBlock,29,com.fasterxml.jackson.core:jackson-core,2.16.0,2.16.1,patch,True,True,
KouShenhai/KCloud-Platform-IoT,1654,com.amazonaws:aws-java-sdk-s3,1.12.704,1.12.705,patch,True,False,no_test
KouShenhai/KCloud-Platform-IoT,1517,com.amazonaws:aws-java-sdk-s3,1.12.695,1.12.696,patch,True,False,no_test
KouShenhai/KCloud-Platform-IoT,1222,org.postgresql:postgresql,42.7.1,42.7.2,patch,False,,
KouShenhai/KCloud-Platform-IoT,1219,io.netty:netty-all,4.1.106.Final,4.1.107.Final,patch,True,False,no_compile
KouShenhai/KCloud-Platform-IoT,1218,org.redisson:redisson,3.26.0,3.26.1,patch,False,,
KouShenhai/KCloud-Platform-IoT,1186,org.elasticsearch.client:elasticsearch-rest-high-level-client,7.17.16,7.17.17,patch,True,False,no_maven
KouShenhai/KCloud-Platform-IoT,1169,io.netty:netty-all,4.1.105.Final,4.1.106.Final,patch,True,False,no_compile
KouShenhai/KCloud-Platform-IoT,1148,org.mockito:mockito-core,5.8.0,5.9.0,minor,True,False,no_maven
KouShenhai/KCloud-Platform-IoT,1113,org.apache.logging.log4j:log4j-core,2.22.0,2.22.1,patch,True,,NO_GITHUB
KouShenhai/KCloud-Platform-IoT,1086,com.ctrip.framework.apollo:apollo-openapi,2.1.0,2.2.0,minor,True,False,no_test
KouShenhai/KCloud-Platform-IoT,1041,org.apache.httpcomponents:httpcore,4.4.15,4.4.16,patch,True,,NO_GITHUB
KouShenhai/KCloud-Platform-IoT,1007,org.elasticsearch.client:elasticsearch-rest-high-level-client,7.17.15,7.17.16,patch,True,False,no_maven
KouShenhai/KCloud-Platform-IoT,988,com.alibaba:druid,1.2.16,1.2.20,patch,False,,
KouShenhai/KCloud-Platform-IoT,961,com.alibaba:transmittable-thread-local,2.14.3,2.14.4,patch,True,True,
KouShenhai/KCloud-Platform-IoT,959,org.flywaydb:flyway-mysql,9.20.0,10.1.0,major,False,,
KouShenhai/KCloud-Platform-IoT,556,org.springframework.kafka:spring-kafka,3.0.4,3.0.10,patch,False,,
OpenFeign/querydsl,427,net.bytebuddy:byte-buddy,1.14.14,1.14.15,patch,True,,NO_GITHUB
OpenFeign/querydsl,426,io.smallrye:jandex,3.1.7,3.1.8,patch,True,False,no_test
OpenFeign/querydsl,423,org.jboss.logging:jboss-logging,3.5.3.Final,3.6.0.Final,minor,False,,
OpenFeign/querydsl,421,com.github.siom79.japicmp:japicmp-maven-plugin,0.21.1,0.21.2,patch,True,,NO_GITHUB
OpenFeign/querydsl,419,com.google.guava:guava,33.1.0-jre,33.2.0-jre,minor,True,False,no_test
OpenFeign/querydsl,414,org.apache.maven.plugins:maven-deploy-plugin,3.1.1,3.1.2,patch,True,,NO_GITHUB
OpenFeign/querydsl,412,io.sundr:sundr-maven-plugin,0.103.1,0.200.0,minor,True,,NO_TAG
OpenFeign/querydsl,407,com.github.siom79.japicmp:japicmp-maven-plugin,0.20.0,0.21.1,minor,True,,NO_GITHUB
OpenFeign/querydsl,404,net.alchim31.maven:scala-maven-plugin,4.8.1,4.9.0,minor,True,,NO_GITHUB
OpenFeign/querydsl,403,net.bytebuddy:byte-buddy,1.14.13,1.14.14,patch,True,,NO_GITHUB
OpenFeign/querydsl,399,org.apache.maven.plugins:maven-toolchains-plugin,3.1.0,3.2.0,minor,False,,
OpenFeign/querydsl,398,io.github.classgraph:classgraph,4.8.171,4.8.172,patch,True,True,
OpenFeign/querydsl,397,org.apache.maven.plugins:maven-gpg-plugin,3.2.3,3.2.4,patch,True,,NO_GITHUB
OpenFeign/querydsl,392,io.github.classgraph:classgraph,4.8.170,4.8.171,patch,True,True,
OpenFeign/querydsl,389,org.xerial:sqlite-jdbc,3.45.2.0,3.45.3.0,patch,True,True,
OpenFeign/querydsl,386,org.codehaus.plexus:plexus-utils,4.0.0,4.0.1,patch,True,True,
OpenFeign/querydsl,384,org.apache.maven.plugins:maven-scm-plugin,2.0.1,2.1.0,minor,True,,NO_GITHUB
OpenFeign/querydsl,381,org.apache.maven.plugins:maven-gpg-plugin,3.2.2,3.2.3,patch,True,,NO_GITHUB
OpenFeign/querydsl,379,org.postgresql:r2dbc-postgresql,1.0.4.RELEASE,1.0.5.RELEASE,patch,True,False,
OpenFeign/querydsl,376,io.projectreactor:reactor-bom,2023.0.4,2023.0.5,patch,False,,no_jar
quarkiverse/quarkus-langchain4j,553,org.mvnpm.at.mvnpm:vaadin-webcomponents,24.3.11,24.3.12,patch,True,False,no_maven
quarkiverse/quarkus-langchain4j,527,io.sundr:sundr-maven-plugin,0.103.1,0.200.0,minor,True,,NO_TAG
quarkiverse/quarkus-langchain4j,526,io.quarkiverse.wiremock:quarkus-wiremock-test,1.3.1,1.3.2,patch,True,False,no_test
quarkiverse/quarkus-langchain4j,490,org.wiremock:wiremock-standalone,3.5.3,3.5.4,patch,False,,
quarkiverse/quarkus-langchain4j,474,org.mvnpm.at.mvnpm:vaadin-webcomponents,24.3.10,24.3.11,patch,True,False,no_maven
quarkiverse/quarkus-langchain4j,470,org.wiremock:wiremock-standalone,3.5.2,3.5.3,patch,False,,
Flmelody/windward,62,com.fasterxml.jackson.core:jackson-databind,2.17.0,2.17.1,patch,True,True,
Flmelody/windward,59,org.slf4j:slf4j-api,2.0.12,2.0.13,patch,True,,NO_GITHUB
Flmelody/windward,58,org.apache.groovy:groovy-templates,4.0.20,4.0.21,patch,True,False,no_maven
Flmelody/windward,56,io.netty:netty-all,4.1.108.Final,4.1.109.Final,patch,True,False,no_compile
michelin/kstreamplify,201,com.puppycrawl.tools:checkstyle,10.15.0,10.16.0,minor,True,False,
michelin/kstreamplify,200,org.springframework.boot:spring-boot-dependencies,3.2.4,3.2.5,patch,False,,no_jar
michelin/kstreamplify,199,org.apache.maven.plugins:maven-gpg-plugin,3.2.3,3.2.4,patch,True,,NO_GITHUB
michelin/kstreamplify,195,org.apache.maven.plugins:maven-gpg-plugin,3.2.2,3.2.3,patch,True,,NO_GITHUB
TFyre/bambu-farm,69,org.codehaus.mojo:jaxb2-maven-plugin,3.1.0,3.2.0,minor,False,,
awslabs/eventbridge-kafka-connector,295,com.fasterxml.jackson:jackson-bom,2.17.0,2.17.1,patch,False,,no_jar
awslabs/eventbridge-kafka-connector,292,commons-codec:commons-codec,1.16.1,1.17.0,minor,True,,NO_GITHUB
awslabs/eventbridge-kafka-connector,290,org.apache.maven.plugins:maven-shade-plugin,3.5.2,3.5.3,patch,True,,NO_GITHUB
awslabs/eventbridge-kafka-connector,283,ch.qos.logback:logback-classic,1.5.5,1.5.6,patch,True,False,no_test
awslabs/eventbridge-kafka-connector,281,org.slf4j:slf4j-api,2.0.12,2.0.13,patch,True,,NO_GITHUB
awslabs/eventbridge-kafka-connector,280,ch.qos.logback:logback-classic,1.5.3,1.5.5,patch,True,False,no_test
Jojoooo1/spring-boot-api,151,io.hypersistence:hypersistence-utils-hibernate-63,3.7.4,3.7.5,patch,True,False,no_compile
Jojoooo1/spring-boot-api,149,io.hypersistence:hypersistence-utils-hibernate-63,3.7.3,3.7.4,patch,True,False,no_compile
Jojoooo1/spring-boot-api,147,io.pyroscope:agent,0.13.0,0.13.1,patch,False,,
Jojoooo1/spring-boot-api,146,io.opentelemetry:opentelemetry-api,1.36.0,1.37.0,minor,True,False,no_maven
Swofty-Developments/HypixelSkyBlock,322,com.fasterxml.jackson.core:jackson-databind,2.17.0,2.17.1,patch,True,True,
Swofty-Developments/HypixelSkyBlock,321,com.fasterxml.jackson.core:jackson-core,2.17.0,2.17.1,patch,True,False,no_compile
